SYMBOL BIOTYPE
1810010K12Rik lncRNA
4921504E06Rik protein_coding
Arid5a protein_coding
6530413G14Rik lncRNA
Acp5 protein_coding
Abhd18 protein_coding
Akr1b3 protein_coding
Atg12 protein_coding
1810064F22Rik lncRNA
Ap3s1 protein_coding
Akr1b8 protein_coding
Akr1b10 protein_coding
Anln protein_coding
4930403P22Rik lncRNA
6430590A07Rik lncRNA
1700034I23Rik protein_coding
Arl14epl protein_coding
4930512M02Rik protein_coding
Akr1b7 protein_coding
2210404E10Rik lncRNA
1700052H01Rik lncRNA
2400006E01Rik lncRNA
9530077C05Rik protein_coding
A430093F15Rik lncRNA
Aff2 protein_coding
1700012I11Rik lncRNA
5330429C05Rik lncRNA
4930526F13Rik lncRNA
5730435O14Rik lncRNA
Arhgap21 protein_coding
1700111N16Rik lncRNA
1700020N15Rik protein_coding
6030443J06Rik lncRNA
A930003O13Rik lncRNA
5031425E22Rik lncRNA
1700042O10Rik lncRNA
4930580E04Rik lncRNA
4930567H17Rik lncRNA
4930573C08Rik TEC
4930504C09Rik lncRNA
Agbl3 protein_coding
2510009E07Rik protein_coding
1700044K03Rik lncRNA
9930024M15Rik TEC
Armc2 protein_coding
Ankrd23 protein_coding
1300002E11Rik lncRNA
1700065O20Rik lncRNA
1700104B16Rik lncRNA
Ankrd39 protein_coding
1700016J18Rik lncRNA
5930409G06Rik TEC
2610316D01Rik lncRNA
Afg1l protein_coding
Atp8b5 protein_coding
AI506816 lncRNA
Arhgap35 protein_coding
1700027H10Rik lncRNA
1700018B24Rik lncRNA
Ap2s1 protein_coding
4930554G24Rik lncRNA
1700046C09Rik lncRNA
Actr1b protein_coding
1700092C17Rik lncRNA
Apbb1ip protein_coding
B930018H19Rik lncRNA
AW112010 lncRNA
Akt2-ps processed_pseudogene
4933424G06Rik protein_coding
Amd-ps6 processed_pseudogene
5830415G21Rik TEC
4933427G23Rik lncRNA
A130006I12Rik pseudogene
2700038G22Rik lncRNA
Ago2 protein_coding
9030612E09Rik lncRNA
4930526L06Rik lncRNA
Abi1 protein_coding
1700034E13Rik protein_coding
B3gat1 protein_coding
1700015I17Rik lncRNA
4930471E15Rik lncRNA
5430403N17Rik lncRNA
1700027J07Rik lncRNA
4933404K13Rik lncRNA
1810058I24Rik protein_coding
4933430A20Rik lncRNA
4930577N17Rik TEC
9330104G04Rik lncRNA
2700080J24Rik TEC
1700065J11Rik lncRNA
9330158H04Rik lncRNA
1700074A21Rik TEC
Arhgef39 protein_coding
Atg5 protein_coding
9230117E06Rik lncRNA
9330151L19Rik lncRNA
4930431F10Rik lncRNA
BC003965 protein_coding
Atg9b protein_coding
Acad8 protein_coding
AI429214 protein_coding
Acbd5 protein_coding
1700111E14Rik lncRNA
8430419K02Rik lncRNA
5031434O11Rik lncRNA
Ankrd28 protein_coding
Ahsg protein_coding
5430433H01Rik TEC
Akr1d1 protein_coding
Abcb8 protein_coding
Atp6v0c-ps2 processed_pseudogene
4833404L02Rik TEC
3110080O07Rik TEC
5430420F09Rik TEC
2900018N21Rik TEC
2610001A08Rik TEC
1700085D07Rik lncRNA
4933406G16Rik lncRNA
Asic3 protein_coding
4930439A04Rik lncRNA
4930425P05Rik lncRNA
Actr2 protein_coding
Aldh7a1 protein_coding
Atp6v0a4 protein_coding
AC122538.1 snRNA
1700010B13Rik lncRNA
Arf6 protein_coding
4930594C11Rik TEC
5830428M24Rik lncRNA
4930556I23Rik lncRNA
4930470B04Rik TEC
Aftph protein_coding
Ascc3 protein_coding
Adgrb1 protein_coding
6430500D05Rik TEC
Adam24 protein_coding
Adam25 protein_coding
Adam20 protein_coding
Adam39 protein_coding
A330040F15Rik lncRNA
4930512B01Rik lncRNA
2610024D14Rik processed_pseudogene
Adamts15 protein_coding
B4galt7 protein_coding
Adamts8 protein_coding
2310074N15Rik lncRNA
Agap3 protein_coding
Adipoq protein_coding
Atp2b3 protein_coding
B630019A10Rik lncRNA
4930511M06Rik lncRNA
1700066O22Rik lncRNA
Asb10 protein_coding
Arc protein_coding
1700024G13Rik protein_coding
1700042O05Rik lncRNA
B230219D22Rik protein_coding
4933427E11Rik lncRNA
Aplp2 protein_coding
4930451E10Rik lncRNA
B430010I23Rik lncRNA
Abcf2 protein_coding
Atl1 protein_coding
4932414J04Rik lncRNA
4933411G06Rik lncRNA
B020017C02Rik processed_pseudogene
Aff3 protein_coding
4930517E14Rik lncRNA
3425401B19Rik protein_coding
1700022A21Rik transcribed_processed_pseudogene
4930550C17Rik lncRNA
Adamts19 protein_coding
Asah1 protein_coding
2610300A13Rik TEC
1700025N23Rik lncRNA
A230028O05Rik lncRNA
4930599N23Rik lncRNA
Abcd1 protein_coding
2010203P06Rik lncRNA
5033425B01Rik TEC
4930434F21Rik lncRNA
2810404M03Rik lncRNA
Arhgap22 protein_coding
Arhgap32 protein_coding
Alg5 protein_coding
9030619P08Rik transcribed_unprocessed_pseudogene
B3gnt2 protein_coding
9130230N09Rik lncRNA
Adam26b protein_coding
Adam26a protein_coding
Adam34 protein_coding
Abhd12b protein_coding
1700058P15Rik lncRNA
4931419H13Rik lncRNA
2810039B14Rik transcribed_unitary_pseudogene
AY512931 lncRNA
1700061J23Rik lncRNA
1500035N22Rik lncRNA
AU015336 lncRNA
2900005J15Rik lncRNA
Asf1a protein_coding
4930466K18Rik TEC
4930503F20Rik lncRNA
8030453O22Rik lncRNA
Adck2 protein_coding
1700066J03Rik lncRNA
A630023A22Rik protein_coding
Antxrl protein_coding
7630403G23Rik lncRNA
Anxa8 protein_coding
1700066B17Rik lncRNA
Agk protein_coding
Arrdc1 protein_coding
Arhgap4 protein_coding
Actr10 protein_coding
4930452L12Rik lncRNA
Arsi protein_coding
4930517J16Rik TEC
5730488B01Rik TEC
4930467K11Rik lncRNA
2210016F16Rik protein_coding
4930581F22Rik lncRNA
Ahsa2 protein_coding
1700096K18Rik lncRNA
3110056K07Rik lncRNA
Atp13a5 protein_coding
Arid4a protein_coding
Actr3b protein_coding
A930016O22Rik lncRNA
1700055D18Rik lncRNA
1700030C12Rik lncRNA
1700093K21Rik protein_coding
0610010F05Rik protein_coding
4930456G14Rik TEC
5031410I06Rik protein_coding
9230112D13Rik protein_coding
4930584F24Rik lncRNA
AW822073 protein_coding
Avpr2 protein_coding
Atp13a4 protein_coding
2700049A03Rik protein_coding
4933417G07Rik transcribed_processed_pseudogene
4933422A05Rik lncRNA
2610105M22Rik TEC
1700074P13Rik protein_coding
1810009J06Rik protein_coding
4930474H06Rik lncRNA
BB187690 TEC
Ankub1 protein_coding
1700083H02Rik lncRNA
4930404H11Rik lncRNA
9630002D21Rik lncRNA
2210010C04Rik protein_coding
1700029J07Rik protein_coding
A930017K11Rik protein_coding
