Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Dock2	NA	NA	NA	NA
Cd5l	NA	NA	NA	NA
Cenpt	NA	NA	NA	NA
Mapk14	NA	NA	NA	NA
Wnt9a	NA	NA	NA	NA
Dlg3	NA	NA	NA	NA
Tnfrsf26	NA	NA	NA	NA
Scfd2	NA	NA	NA	NA
Leprotl1	NA	NA	NA	NA
Erp29	NA	NA	NA	NA
Tnks1bp1	NA	NA	NA	NA
Plxdc1	NA	NA	NA	NA
Vps33a	NA	NA	NA	NA
Mrc2	NA	NA	NA	NA
Pbdc1	NA	NA	NA	NA
Pip5k1a	NA	NA	NA	NA
Map3k13	NA	NA	NA	NA
Slc24a5	NA	NA	NA	NA
Rab37	NA	NA	NA	NA
8430429K09Rik	NA	NA	NA	NA
Vcpip1	NA	NA	NA	NA
Ap4m1	NA	NA	NA	NA
E130307A14Rik	NA	NA	NA	NA
Pex7	NA	NA	NA	NA
Phf20	NA	NA	NA	NA
Kcnab2	NA	NA	NA	NA
Gzmk	NA	NA	NA	NA
Gm15545	NA	NA	NA	NA
Bmf	NA	NA	NA	NA
Gm12346	NA	NA	NA	NA
Acat2	NA	NA	NA	NA
Zrsr1	NA	NA	NA	NA
Spg20	NA	NA	NA	NA
Ipo13	NA	NA	NA	NA
Dhtkd1	NA	NA	NA	NA
Tmed7	NA	NA	NA	NA
Keap1	NA	NA	NA	NA
Crk	NA	NA	NA	NA
Ifi204	NA	NA	NA	NA
Fut4	NA	NA	NA	NA
Gm11808	NA	NA	NA	NA
Mup13	NA	NA	NA	NA
Csnk1e	NA	NA	NA	NA
Apol9b	NA	NA	NA	NA
Gm14212	NA	NA	NA	NA
Pxk	NA	NA	NA	NA
Cct7	NA	NA	NA	NA
Nell2	NA	NA	NA	NA
Pnkp	NA	NA	NA	NA
Lss	NA	NA	NA	NA
Ndufv1	NA	NA	NA	NA
Gm45589	NA	NA	NA	NA
Cd164	NA	NA	NA	NA
Tfpi2	NA	NA	NA	NA
Gdf6	NA	NA	NA	NA
Dis3l	NA	NA	NA	NA
Dynll1	NA	NA	NA	NA
Timp3	NA	NA	NA	NA
Aldh1l2	NA	NA	NA	NA
Emp3	NA	NA	NA	NA
Zfp658	NA	NA	NA	NA
Zfp995	NA	NA	NA	NA
Gm44079	NA	NA	NA	NA
Hacd1	NA	NA	NA	NA
Bcap31	NA	NA	NA	NA
Cdc42ep2	NA	NA	NA	NA
5430431A17Rik	NA	NA	NA	NA
Cpn2	NA	NA	NA	NA
Cxcl10	NA	NA	NA	NA
Pphln1	NA	NA	NA	NA
Asb2	NA	NA	NA	NA
Pnpla5	NA	NA	NA	NA
D6Wsu163e	NA	NA	NA	NA
Dhrs1	NA	NA	NA	NA
Ido2	NA	NA	NA	NA
Cpm	NA	NA	NA	NA
H2-DMb2	NA	NA	NA	NA
Gm37058	NA	NA	NA	NA
Tdp2	NA	NA	NA	NA
Gas2l3	NA	NA	NA	NA
Gm16025	NA	NA	NA	NA
Maoa	NA	NA	NA	NA
Pdxdc1	NA	NA	NA	NA
Gm3200	NA	NA	NA	NA
Mmaa	NA	NA	NA	NA
Gm18095	NA	NA	NA	NA
Hdac11	NA	NA	NA	NA
Gemin2	NA	NA	NA	NA
Abcc9	NA	NA	NA	NA
Gm47652	NA	NA	NA	NA
Nvl	NA	NA	NA	NA
Snx15	NA	NA	NA	NA
Cytip	NA	NA	NA	NA
Ube4a	NA	NA	NA	NA
Soat1	NA	NA	NA	NA
Polm	NA	NA	NA	NA
Trim37	NA	NA	NA	NA
Hyal2	NA	NA	NA	NA
Gm15918	NA	NA	NA	NA
Mllt6	NA	NA	NA	NA
Spata2	NA	NA	NA	NA
Med24	NA	NA	NA	NA
Ear2	NA	NA	NA	NA
Man1a2	NA	NA	NA	NA
Mios	NA	NA	NA	NA
Dennd2d	NA	NA	NA	NA
Polg	NA	NA	NA	NA
Ubfd1	NA	NA	NA	NA
Serpinh1	NA	NA	NA	NA
Slc46a1	NA	NA	NA	NA
B3galnt1	NA	NA	NA	NA
Bfar	NA	NA	NA	NA
Atg4c	NA	NA	NA	NA
5031439G07Rik	NA	NA	NA	NA
mt-Nd5	NA	NA	NA	NA
Nedd4l	NA	NA	NA	NA
Bcl2l1	NA	NA	NA	NA
C730002L08Rik	NA	NA	NA	NA
4930404H11Rik	NA	NA	NA	NA
Rfwd3	NA	NA	NA	NA
Creld2	NA	NA	NA	NA
Nat10	NA	NA	NA	NA
Kalrn	NA	NA	NA	NA
Stxbp1	NA	NA	NA	NA
Gm2423	NA	NA	NA	NA
Kif16b	NA	NA	NA	NA
Mindy1	NA	NA	NA	NA
Hey1	NA	NA	NA	NA
Syngr1	NA	NA	NA	NA
Pcdhb7	NA	NA	NA	NA
Gm38070	NA	NA	NA	NA
Stoml1	NA	NA	NA	NA
B130024G19Rik	NA	NA	NA	NA
Apba3	NA	NA	NA	NA
Cnot8	NA	NA	NA	NA
Man2a1	NA	NA	NA	NA
Map7d1	NA	NA	NA	NA
2500004C02Rik	NA	NA	NA	NA
Tnfrsf8	NA	NA	NA	NA
Gm12435	NA	NA	NA	NA
Adap2os	NA	NA	NA	NA
Cyp4f17	NA	NA	NA	NA
Bcl2l12	NA	NA	NA	NA
Dlat	NA	NA	NA	NA
Gm2065	NA	NA	NA	NA
Olfr1341	NA	NA	NA	NA
Arntl	NA	NA	NA	NA
Lrrc59	NA	NA	NA	NA
Hacd4	NA	NA	NA	NA
Gm31717	NA	NA	NA	NA
Fas	NA	NA	NA	NA
Olfml3	NA	NA	NA	NA
Atp2a3	NA	NA	NA	NA
Siva1	NA	NA	NA	NA
Vps25	NA	NA	NA	NA
Cd8a	NA	NA	NA	NA
Ptcd2	NA	NA	NA	NA
Mcm5	NA	NA	NA	NA
Siglecg	NA	NA	NA	NA
Mrps27	NA	NA	NA	NA
Ada	NA	NA	NA	NA
Slc22a4	NA	NA	NA	NA
Rheb	NA	NA	NA	NA
Anks6	NA	NA	NA	NA
Zbtb11os1	NA	NA	NA	NA
Wars	NA	NA	NA	NA
Olfr975	NA	NA	NA	NA
Smyd4	NA	NA	NA	NA
Sorbs2os	NA	NA	NA	NA
Phex	NA	NA	NA	NA
Uggt2	NA	NA	NA	NA
Vav1	NA	NA	NA	NA
Adamtsl1	NA	NA	NA	NA
Fam180a	NA	NA	NA	NA
Lancl3	NA	NA	NA	NA
Tmem63a	NA	NA	NA	NA
Scd2	NA	NA	NA	NA
Commd1	NA	NA	NA	NA
Nlrc3	NA	NA	NA	NA
Vezf1	NA	NA	NA	NA
Pdp2	NA	NA	NA	NA
S100a11	NA	NA	NA	NA
Gm48710	NA	NA	NA	NA
Haus7	NA	NA	NA	NA
Prps2	NA	NA	NA	NA
Gdf9	NA	NA	NA	NA
Cfap43	NA	NA	NA	NA
Gm14137	NA	NA	NA	NA
P4ha2	NA	NA	NA	NA
Zpbp	NA	NA	NA	NA
Pold1	NA	NA	NA	NA
Gm11400	NA	NA	NA	NA
Uba1	NA	NA	NA	NA
Bnc2	NA	NA	NA	NA
Zfp608	NA	NA	NA	NA
C77080	NA	NA	NA	NA
Arhgap45	NA	NA	NA	NA
Lsm1	NA	NA	NA	NA
Tymp	NA	NA	NA	NA
Ptprk	NA	NA	NA	NA
Serpinb3a	NA	NA	NA	NA
C2	NA	NA	NA	NA
Rbm12b1	NA	NA	NA	NA
Gin1	NA	NA	NA	NA
Lrrc18	NA	NA	NA	NA
Higd1a	NA	NA	NA	NA
Rnf225	NA	NA	NA	NA
S100a16	NA	NA	NA	NA
Gtf3a	NA	NA	NA	NA
Rcl1	NA	NA	NA	NA
1110013H19Rik	NA	NA	NA	NA
Cmip	NA	NA	NA	NA
Arl4d	NA	NA	NA	NA
Serhl	NA	NA	NA	NA
Rcor1	NA	NA	NA	NA
C530043A13Rik	NA	NA	NA	NA
Trmu	NA	NA	NA	NA
Fahd1	NA	NA	NA	NA
C1qa	NA	NA	NA	NA
Fam53c	NA	NA	NA	NA
Sox5os2	NA	NA	NA	NA
4932442E05Rik	NA	NA	NA	NA
Tmod3	NA	NA	NA	NA
Hic2	NA	NA	NA	NA
Gm10053	NA	NA	NA	NA
Mfng	NA	NA	NA	NA
Med15	NA	NA	NA	NA
Kat8	NA	NA	NA	NA
Tspan6	NA	NA	NA	NA
Pdgfra	NA	NA	NA	NA
Tle2	NA	NA	NA	NA
Adsl	NA	NA	NA	NA
Neurl3	NA	NA	NA	NA
Cdc40	NA	NA	NA	NA
Rab13	NA	NA	NA	NA
Usp46	NA	NA	NA	NA
Gm37522	NA	NA	NA	NA
Tcta	NA	NA	NA	NA
Gata2	NA	NA	NA	NA
Tmem140	NA	NA	NA	NA
Mrps25	NA	NA	NA	NA
Gm11773	NA	NA	NA	NA
Tbc1d24	NA	NA	NA	NA
Tefm	NA	NA	NA	NA
Epb41l2	NA	NA	NA	NA
Atp23	NA	NA	NA	NA
Smim24	NA	NA	NA	NA
Cdip1	NA	NA	NA	NA
Psmc3	NA	NA	NA	NA
Puf60	NA	NA	NA	NA
Fgf2	NA	NA	NA	NA
Plekhs1	NA	NA	NA	NA
Dennd2a	NA	NA	NA	NA
Hsf1	NA	NA	NA	NA
Gm15510	NA	NA	NA	NA
Smoc2	NA	NA	NA	NA
Sh3bgrl	NA	NA	NA	NA
Gm15523	NA	NA	NA	NA
Rnf139	NA	NA	NA	NA
Gm5898	NA	NA	NA	NA
Plekhh1	NA	NA	NA	NA
Cdc42bpg	NA	NA	NA	NA
2610301B20Rik	NA	NA	NA	NA
Gprin2	NA	NA	NA	NA
Gm13630	NA	NA	NA	NA
Zc3h6	NA	NA	NA	NA
Hdhd5	NA	NA	NA	NA
Gm12366	NA	NA	NA	NA
Sirt6	NA	NA	NA	NA
Olfr1331	NA	NA	NA	NA
Napsa	NA	NA	NA	NA
Gm44001	NA	NA	NA	NA
Gm20276	NA	NA	NA	NA
Cyp2d40	NA	NA	NA	NA
Dnajb6	NA	NA	NA	NA
Utp14a	NA	NA	NA	NA
Cd200r1	NA	NA	NA	NA
Musk	NA	NA	NA	NA
Fam216b	NA	NA	NA	NA
Lman2	NA	NA	NA	NA
Sap30l	NA	NA	NA	NA
Cyp2c70	NA	NA	NA	NA
Gm36936	NA	NA	NA	NA
Gm38266	NA	NA	NA	NA
Kcnk10	NA	NA	NA	NA
Pira2	NA	NA	NA	NA
Cep192	NA	NA	NA	NA
Gm15459	NA	NA	NA	NA
1700119H24Rik	NA	NA	NA	NA
Gpam	NA	NA	NA	NA
Fam114a2	NA	NA	NA	NA
Gtf2h4	NA	NA	NA	NA
Rps19bp1	NA	NA	NA	NA
Sfxn3	NA	NA	NA	NA
Mterf4	NA	NA	NA	NA
BE692007	NA	NA	NA	NA
Rmnd5a	NA	NA	NA	NA
Nod1	NA	NA	NA	NA
Sppl2b	NA	NA	NA	NA
Rap2b	NA	NA	NA	NA
Ngef	NA	NA	NA	NA
Myl9	NA	NA	NA	NA
Tmod4	NA	NA	NA	NA
Zfp583	NA	NA	NA	NA
Fbxo46	NA	NA	NA	NA
Mknk2	NA	NA	NA	NA
Col16a1	NA	NA	NA	NA
Mob3a	NA	NA	NA	NA
Tulp3	NA	NA	NA	NA
Mier2	NA	NA	NA	NA
Bbx	NA	NA	NA	NA
Ajuba	NA	NA	NA	NA
Slc25a43	NA	NA	NA	NA
Atp13a3	NA	NA	NA	NA
Akt1s1	NA	NA	NA	NA
Brca2	NA	NA	NA	NA
Imp4	NA	NA	NA	NA
Ankrd37	NA	NA	NA	NA
Sirpb1b	NA	NA	NA	NA
Ksr1	NA	NA	NA	NA
Ttf1	NA	NA	NA	NA
Mfsd6	NA	NA	NA	NA
Dedd	NA	NA	NA	NA
AW554918	NA	NA	NA	NA
G730003C15Rik	NA	NA	NA	NA
0610031O16Rik	NA	NA	NA	NA
Mypn	NA	NA	NA	NA
Snora20	NA	NA	NA	NA
9930111J21Rik1	NA	NA	NA	NA
Olfr1493-ps1	NA	NA	NA	NA
Bbs10	NA	NA	NA	NA
Akr1b10	NA	NA	NA	NA
Gm45104	NA	NA	NA	NA
Zfp661	NA	NA	NA	NA
Rapgef4os2	NA	NA	NA	NA
Aqp8	NA	NA	NA	NA
Eaf2	NA	NA	NA	NA
Hpgds	NA	NA	NA	NA
Fgfr4	NA	NA	NA	NA
Spryd3	NA	NA	NA	NA
Hmgn3	NA	NA	NA	NA
D930048N14Rik	NA	NA	NA	NA
Iqgap1	NA	NA	NA	NA
Gm14322	NA	NA	NA	NA
Map3k15	NA	NA	NA	NA
Gcnt1	NA	NA	NA	NA
Selenon	NA	NA	NA	NA
Iglc3	NA	NA	NA	NA
Ppp3cc	NA	NA	NA	NA
Igip	NA	NA	NA	NA
Agtpbp1	NA	NA	NA	NA
Gm26873	NA	NA	NA	NA
Gm15681	NA	NA	NA	NA
Gm37529	NA	NA	NA	NA
Lrfn3	NA	NA	NA	NA
Mnt	NA	NA	NA	NA
Rab11fip2	NA	NA	NA	NA
Atp2c1	NA	NA	NA	NA
Alkbh5	NA	NA	NA	NA
Gnb4	NA	NA	NA	NA
P2ry12	NA	NA	NA	NA
Srgn	NA	NA	NA	NA
Cwc25	NA	NA	NA	NA
Afg3l1	NA	NA	NA	NA
Mcemp1	NA	NA	NA	NA
Zfp26	NA	NA	NA	NA
Eif3l	NA	NA	NA	NA
Itpripl1	NA	NA	NA	NA
Prrx1	NA	NA	NA	NA
Slc35c1	NA	NA	NA	NA
Ppp6c	NA	NA	NA	NA
Hyou1	NA	NA	NA	NA
Phldb1	NA	NA	NA	NA
Hmox2	NA	NA	NA	NA
Ldb1	NA	NA	NA	NA
Crym	NA	NA	NA	NA
Gm37215	NA	NA	NA	NA
Gm38398	NA	NA	NA	NA
Ttc4	NA	NA	NA	NA
Fmnl3	NA	NA	NA	NA
Coq3	NA	NA	NA	NA
Gm11843	NA	NA	NA	NA
Olfr479	NA	NA	NA	NA
Recql5	NA	NA	NA	NA
Mat2a	NA	NA	NA	NA
Ssbp3	NA	NA	NA	NA
Rbm8a	NA	NA	NA	NA
Gabarapl1	NA	NA	NA	NA
Il16	NA	NA	NA	NA
Gng11	NA	NA	NA	NA
Pkib	NA	NA	NA	NA
Prr14l	NA	NA	NA	NA
4930578M01Rik	NA	NA	NA	NA
8030453O22Rik	NA	NA	NA	NA
Slc22a1	NA	NA	NA	NA
Tlr6	NA	NA	NA	NA
Trrap	NA	NA	NA	NA
Gabre	NA	NA	NA	NA
Gfod2	NA	NA	NA	NA
Cfap36	NA	NA	NA	NA
Rapgef1	NA	NA	NA	NA
Ncoa7	NA	NA	NA	NA
Tarbp2	NA	NA	NA	NA
1700028N14Rik	NA	NA	NA	NA
Bves	NA	NA	NA	NA
Gpatch3	NA	NA	NA	NA
Plat	NA	NA	NA	NA
Gm38376	NA	NA	NA	NA
Angptl3	NA	NA	NA	NA
Gm20703	NA	NA	NA	NA
Ptgs2	NA	NA	NA	NA
Rab19	NA	NA	NA	NA
Tom1	NA	NA	NA	NA
Gm4202	NA	NA	NA	NA
Wdr66	NA	NA	NA	NA
Tnfrsf9	NA	NA	NA	NA
Fli1	NA	NA	NA	NA
2310039H08Rik	NA	NA	NA	NA
Bnip3l	NA	NA	NA	NA
Pdk3	NA	NA	NA	NA
Pcsk4	NA	NA	NA	NA
Gpr18	NA	NA	NA	NA
Bbs5	NA	NA	NA	NA
Asic5	NA	NA	NA	NA
Gnrh1	NA	NA	NA	NA
Hsph1	NA	NA	NA	NA
Rnf180	NA	NA	NA	NA
Ngdn	NA	NA	NA	NA
Zfp874b	NA	NA	NA	NA
Phactr2	NA	NA	NA	NA
Cplx2	NA	NA	NA	NA
9330162B11Rik	NA	NA	NA	NA
C1qc	NA	NA	NA	NA
Htr2a	NA	NA	NA	NA
Rabgef1	NA	NA	NA	NA
Cfb	NA	NA	NA	NA
Cd3g	NA	NA	NA	NA
1110038B12Rik	NA	NA	NA	NA
Cdk18	NA	NA	NA	NA
Col15a1	NA	NA	NA	NA
Vps45	NA	NA	NA	NA
Armt1	NA	NA	NA	NA
Oca2	NA	NA	NA	NA
Ranbp10	NA	NA	NA	NA
Cry1	NA	NA	NA	NA
Gm16299	NA	NA	NA	NA
Hipk1	NA	NA	NA	NA
Cd300a	NA	NA	NA	NA
Ilkap	NA	NA	NA	NA
Fetub	NA	NA	NA	NA
Cers3	NA	NA	NA	NA
Mx1	NA	NA	NA	NA
Cdh5	NA	NA	NA	NA
Gm15834	NA	NA	NA	NA
Pitpnc1	NA	NA	NA	NA
Ube2l6	NA	NA	NA	NA
Zfp513	NA	NA	NA	NA
Tef	NA	NA	NA	NA
Gins1	NA	NA	NA	NA
Spin1	NA	NA	NA	NA
Cdc7	NA	NA	NA	NA
Cd40	NA	NA	NA	NA
Zhx1	NA	NA	NA	NA
S100pbp	NA	NA	NA	NA
Tbc1d30	NA	NA	NA	NA
Cdk14	NA	NA	NA	NA
Pick1	NA	NA	NA	NA
Ncoa5	NA	NA	NA	NA
Dhx8	NA	NA	NA	NA
Itpkb	NA	NA	NA	NA
Bik	NA	NA	NA	NA
Il1rl2	NA	NA	NA	NA
Plekhm2	NA	NA	NA	NA
Cav2	NA	NA	NA	NA
U2af1	NA	NA	NA	NA
Slc2a1	NA	NA	NA	NA
Atp6v0a2	NA	NA	NA	NA
Pik3c2b	NA	NA	NA	NA
Slc25a21	NA	NA	NA	NA
Myl12b	NA	NA	NA	NA
Hnf4a	NA	NA	NA	NA
Gm4240	NA	NA	NA	NA
Klf16	NA	NA	NA	NA
Scin	NA	NA	NA	NA
Nkapd1	NA	NA	NA	NA
Dixdc1	NA	NA	NA	NA
Sp110	NA	NA	NA	NA
1700123O20Rik	NA	NA	NA	NA
A630001G21Rik	NA	NA	NA	NA
Abhd18	NA	NA	NA	NA
Rwdd3	NA	NA	NA	NA
Otud6b	NA	NA	NA	NA
Wfdc15b	NA	NA	NA	NA
Litaf	NA	NA	NA	NA
Gm36640	NA	NA	NA	NA
Arhgap18	NA	NA	NA	NA
Cntrl	NA	NA	NA	NA
Ccar1	NA	NA	NA	NA
Dffa	NA	NA	NA	NA
Gm10575	NA	NA	NA	NA
Igkv1-135	NA	NA	NA	NA
Zan	NA	NA	NA	NA
Rinl	NA	NA	NA	NA
Gm46404	NA	NA	NA	NA
Trps1	NA	NA	NA	NA
Gm43571	NA	NA	NA	NA
Gltpd2	NA	NA	NA	NA
Rnf145	NA	NA	NA	NA
Ric8b	NA	NA	NA	NA
2210406H18Rik	NA	NA	NA	NA
Gm37121	NA	NA	NA	NA
Vmn1r206	NA	NA	NA	NA
Hspb1	NA	NA	NA	NA
Rab3a	NA	NA	NA	NA
Ifi30	NA	NA	NA	NA
Mapk4	NA	NA	NA	NA
A930037H05Rik	NA	NA	NA	NA
Sdhaf2	NA	NA	NA	NA
Tbk1	NA	NA	NA	NA
Gm13689	NA	NA	NA	NA
Gm43984	NA	NA	NA	NA
Ccr6	NA	NA	NA	NA
Mical3	NA	NA	NA	NA
Il10rb	NA	NA	NA	NA
Gk	NA	NA	NA	NA
Snx20	NA	NA	NA	NA
Secisbp2l	NA	NA	NA	NA
Tpd52l1	NA	NA	NA	NA
Tgif1	NA	NA	NA	NA
Nat8f4	NA	NA	NA	NA
Cbr4	NA	NA	NA	NA
Paics	NA	NA	NA	NA
Ms4a4c	NA	NA	NA	NA
Cstf1	NA	NA	NA	NA
Anxa2	NA	NA	NA	NA
Lrg1	NA	NA	NA	NA
Slc22a7	NA	NA	NA	NA
Phldb3	NA	NA	NA	NA
Piga	NA	NA	NA	NA
1700003L19Rik	NA	NA	NA	NA
5033430I15Rik	NA	NA	NA	NA
Gm11752	NA	NA	NA	NA
Nop14	NA	NA	NA	NA
Lypla1	NA	NA	NA	NA
5031425F14Rik	NA	NA	NA	NA
Lrp4	NA	NA	NA	NA
Capn3	NA	NA	NA	NA
Canx	NA	NA	NA	NA
Ralb	NA	NA	NA	NA
Gm16867	NA	NA	NA	NA
Clptm1l	NA	NA	NA	NA
Gm47801	NA	NA	NA	NA
Clba1	NA	NA	NA	NA
Gm49417	NA	NA	NA	NA
Pigo	NA	NA	NA	NA
Gp5	NA	NA	NA	NA
Qsox2	NA	NA	NA	NA
Kif12	NA	NA	NA	NA
Tmem59	NA	NA	NA	NA
Zc3h14	NA	NA	NA	NA
Gm42943	NA	NA	NA	NA
Apol11b	NA	NA	NA	NA
